A-vitamiidna __ N __ A-vitamijnna
B-vitamiidna __ N __  B-vitamijnna
C-vitamiidna __ N __  C-vitamijnna
D-vitamiidna __ N __  D-vitamijnna
Ipmil __ N __  Jubmel
Radisson-SAS __ N __  Radisson-SAS
abonnemeanta __ N __  abonnemænnta
aborigiidna __ N __  aborigijnna
adaptašuvdna __ N __  adaptasjåvnnå
adjunkta __ N __  adjuŋŋkta
aduseren __ N __  adusierim
ageanta __ N __  agænnta
agoarta __ N __  akoardda
ahkeráhkadus __ N __  ahkedagádus
ahkitvuohta __ N __  guhkálasjvuohta
ahki __ N __  áldar
aisttonmearka __ N __  gærddádimmærkka
akoarda __ N __  akoardda
akrobáhtta __ N __  akrobáhtta
akseanta __ N __  aksænnta
aktiiva __ N __  aktijvva
aktiivvalaččat __ N __  aktijvalattjat
aktivitehta __ N __  aktivitiehtta
albbas __ N __  albas
albmeassi __ N __  almegoahke
alfabehta __ N __  alfabiehtta
alfaveršuvdna __ N __  alfaversjåvnnå
algebra __ N __  algebrádja
algŋa __ N __  allna
alimat __ N __  ålem
alitdohpi __ N __  njavllerásse
alitvuodjalasta __ N __  njavllerásse
alkoholihkar __ N __  alkoholissta
alkoholista __ N __  alkoholissta
allalávlla __ N __  allalávludis
allameassu __ N __  allamæsso
allamielalaš __ N __  stuores
allatvuohta __ N __  allavuohta
allehonda __ N __  allehånndå
allodat __ N __  alludahka
almmuhus __ N __  almodus
almmáiolmmoš __ N __  ålmåj
almmái __ N __  ålmåj
almmálaš __ N __  almmelasj
alárbmasystema __ N __  alarmsystiebma
alárbma __ N __  alármma
aláš __ N __  alludahka
amanueansa __ N __  amanuænssa
amatevra __ N __  amaterra
ambulánsa __ N __  ambulánssa
analfabehta __ N __  analfabiehtta
analysa __ N __  analijssa
ananas __ N __  ananássa
anatema __ N __  anatiebma
anihahtti __ N __  anedahtte
animašuvdna __ N __  animasjåvnnå
annuitehta __ N __  annuitiehtta
ansiennitehta __ N __  ansiennitiehtta
anteanna __ N __  antænnjo
antibiohta __ N __  antibiotijkka
antibiohta __ N __  antibiotika
antikristus __ N __  antikrissta
antikvára __ N __  antikvárra
anárašgiella __ N __  anársámegiella
anársámegiella __ N __  anársámegiella
apoastal __ N __  apåstal
apotehka __ N __  apotiehkka
appelsiidna __ N __  appelsijnna
areasta __ N __  giddagis
arkeologalaš __ N __  arkeologijjalasj
arreasta __ N __  giddagis
artista __ N __  artissta
arvedávgi __ N __  ádjájuoksa
arveoakti __ N __  rássjobålås
arvereaddju __ N __  rássjogierdde
arvi __ N __  harvve
arvu __ N __  árvvo
arábalaš __ N __  arábak
arábialaš __ N __  arábak
assi __ N __  lijkke
astoáigi __ N __  asstoájgge
asttuáigi __ N __  asstoájgge
ateasta __ N __  duodastus
atenalaš __ N __  atenak
atnugálvu __ N __  adnogálvvo
atteasta __ N __  duodastus
attáldat __ N __  vattás
auditoria __ N __  auditåvrrå
automáhta __ N __  automáhtta
autoritehta __ N __  autoritiehtta
aviisa __ N __  avijssa
bachelor __ N __  bachelor
badjeolmmoš __ N __  ælloniehkke
badjeravda __ N __  badjerabdda
badjesápmelaš __ N __  boatsojsábme
badjesápmi __ N __  boatsojsábme
bahtadoavdnji __ N __  tjåhkkåhimvuoládis
bahtaráigi __ N __  bahtarájgge
bahádahkki __ N __  bahádahkke
bajilčála __ N __  bajelttjála
bajimušbáhppa __ N __  oajvemusbáhppa
bajándálki __ N __  ádjádálkke
baján __ N __  átjek
bajásdoallan __ N __  bisodibme
bajásgeassin __ N __  bajedibme
bajásšaddan __ N __  bajássjaddam
bakteara __ N __  baktierij
balloŋŋa __ N __  balloaŋŋa
balláda __ N __  balláhta
bargamuš __ N __  barggo
bargiidbellodat __ N __  barggijbelludahka
bargiidorganisašuvdna __ N __  barggijorganisasjåvnnå
bargiidveahka __ N __  bargge
bargobeaivi __ N __  barggobiejvve
bargogirji __ N __  barggogirjje
bargojahki __ N __  barggojahke
bargolohpi __ N __  barggamloahpe
bargoveahka __ N __  bargge
bargoáigi __ N __  barggoájgge
barta __ N __  hyhtto
baráhkka __ N __  bráhkka
basadanlatnja __ N __  báda
basadanlatnja __ N __  lávggomladnja
bassangárri __ N __  bassamgárre
basseaŋga __ N __  bassæŋŋa
basseaŋŋa __ N __  bassæŋŋa
bassebeaivi __ N __  bassebiejvve
baste __ N __  bassti
bastilislátnjá __ N __  tjiesskisládnje
bavssa __ N __  bavsev
bađošgaccet __ N __  badojgattsak
beaggin __ N __  gullo
beahcebáhcat __ N __  biehtsebáhtsak
beahttu __ N __  biehttem
beaiveaviisa __ N __  biejvveavijssa
beaivegirji __ N __  biejvvegirjje
beaivvadat __ N __  bæjvádahka
beaktu __ N __  vájkkudus
bealdu __ N __  bælldo
bealjeheapme __ N __  bieljedibme
bealjus __ N __  beljas
beallalaš __ N __  guojmme
bealleáigi __ N __  bielleájgge
bealljeráigi __ N __  bielljerájgge
bealljerásttis __ N __  bielljerástes
beallječikŋa __ N __  bielljehærvva
bealuštus __ N __  bælostus
bearal __ N __  råhttå
bearaš __ N __  famillja
beargalat __ N __  bærggal
bearjadat __ N __  bierjjedahka
bearral __ N __  råhttå
bearráigeahččanlávdegoddi __ N __  bærrájgæhttjamnammadus
bearráigeahčči __ N __  bærrájgæhttje
bearráigeahčču __ N __  bærrájgæhttjo
beaska __ N __  muoddá
beassankoarta __ N __  bessamkårttå
beassansátni __ N __  bessambáhko
beassádat __ N __  doahkke
beassášbeaivi __ N __  bæssásjbiejvve
beasti __ N __  lånestiddje
beatnatjokŋa __ N __  svijnnemuorjje
beavdegirjelasáhus __ N __  bievddegirjjelasádus
beavdegirji __ N __  bievddegirjje
beaŋka __ N __  bæŋŋka
