 bealgihččet __ Num __  bielgiehttjit
 bealgoalmmát __ Num __  bielgoalmát
 bealguđát __ Num __  bielgudát
 bealgávccát __ Num __  bielgávtsát
 beallogát __ Num __  biellågåt
 bealnjealját __ Num __  biellenælját
 bealnut __ Num __  bielnup
 bealviđát __ Num __  bielvidát
 bealčihččet __ Num __  bielgiehttjit
 beannot __ Num __  bielnup
 duhát __ Num __  tuvsán
 golbma-njealljeduháha __ Num __  gålmmå-nielljaduhát
 golbma-njealljeduhát __ Num __  gålmmå-nielljaduhát
 golbma-njealljelogi __ Num __  gålmmå-nielljalåhke
 golbma-njealljenuppelohkái __ Num __  lågenangålmmå-niellja
 golbma-njeallje __ Num __  gålmmå-niellja
 golbma-njeallječuohti __ Num __  gålmmå-nielljatjuohte
 golbma-njeallječuođi __ Num __  gålmmå-nielljatjuohte
 golbmaduhát __ Num __  gålmmåtuvsán
 golbmanuppelohkái __ Num __  lågenangålmmå
 guhtta-čiežaduháha __ Num __  guhtta-giehtjaduhát
 guhtta-čiežaduhát __ Num __  guhtta-giehtjaduhát
 guhtta-čiežalogi __ Num __  guhtta-giehtjalåhke
 guhtta-čiežanuppelohkái __ Num __  lågenanguhtta-giehtja
 guhtta-čieža __ Num __  guhtta-giehtja
 guhtta-čiežačuohti __ Num __  guhtta-giehtjatjuohte
 guhtta-čiežačuođi __ Num __  guhtta-giehtjatjuohte
 guhttanuppelohkái __ Num __  lågenanguhtta
 guokte-golbmaduháha __ Num __  guokta-gålmmåduhát
 guokte-golbmaduhát __ Num __  guokta-gålmmåduhát
 guokte-golbmalogi __ Num __  guokta-gålmmålåhke
 guokte-golbmanuppelohkái __ Num __  lågenanguokta-gålmmå
 guokte-golbma __ Num __  guokta-gålmmå
 guokte-golbmačuohti __ Num __  guokta-gålmmåtjuohte
 guokte-golbmačuođi __ Num __  guokta-gålmmåtjuohte
 guoktenuppelohkái __ Num __  lågenanguokta
 guovttis __ Num __  guovtes
 guđas __ Num __  gudás
 gávcci-ovcciduháha __ Num __  gáktsa-aktseduhát
 gávcci-ovcciduhát __ Num __  gáktsa-aktseduhát
 gávcci-ovccilogi __ Num __  gáktsa-aktselåhke
 gávcci-ovccinuppelohkái __ Num __  lågenangáktsa-aktse
 gávcci-ovcci __ Num __  gáktsa-aktse
 gávcci-ovccičuohti __ Num __  gáktsa-aktsetjuohte
 gávcci-ovccičuođi __ Num __  gáktsa-aktsetjuohte
 gávccilogis __ Num __  gáktsalåges
 gávccinuppelogis __ Num __  lågenangávtses
 gávccinuppelohkái __ Num __  lågenangáktsa
 gávccis __ Num __  gávtses
 logi __ Num __  låhke
 logi __ Num __  låk
 miljovdna __ Num __  millijåvnnå
 miljárda __ Num __  millijárdda
 njeallje-vihttaduháha __ Num __  niellja-vihttaduhát
 njeallje-vihttaduhát __ Num __  niellja-vihttaduhát
 njeallje-vihttalogi __ Num __  niellja-vihttalåhke
 njeallje-vihttanuppelohkái __ Num __  lågenanniellja-vihtta
 njeallje-vihtta __ Num __  niellja-vihtta
 njeallje-vihttačuohti __ Num __  niellja-vihttatjuohte
 njeallje-vihttačuođi __ Num __  niellja-vihttatjuohte
 njealljeduhát __ Num __  nielljatuvsán
 njealljelogiguokte __ Num __  nielljalåkguokta
 njealljenuppelohkái __ Num __  lågenanniellja
 okta-guokte __ Num __  akta-guokta
 oktanuppelohkái __ Num __  lågenanakta
 okta __ Num __  akta
 ovccilogis __ Num __  aktselåges
 ovccinuppelogis __ Num __  lågenanavtses
 ovccinuppelohkái __ Num __  lågenanaktse
 ovccis __ Num __  avtses
 ovcci __ Num __  aktse
 vihtta-guhttaduháha __ Num __  vihtta-guhttaduhát
 vihtta-guhttaduhát __ Num __  vihtta-guhttaduhát
 vihtta-guhttalogi __ Num __  vihtta-guhttalåhke
 vihtta-guhttanuppelohkái __ Num __  lågenanvihtta-guhtta
 vihtta-guhtta __ Num __  vihtta-guhtta
 vihtta-guhttačuohti __ Num __  vihtta-guhttatjuohte
 vihtta-guhttačuođi __ Num __  vihtta-guhttatjuohte
 vihttaduhát __ Num __  vihttatuvsán
 vihttanuppelohkái __ Num __  lågenanvihtta
 viđas __ Num __  vidás
 čieža-gávcciduháha __ Num __  giehtja-gáktsaduhát
 čieža-gávcciduhát __ Num __  giehtja-gáktsaduhát
 čieža-gávccilogi __ Num __  giehtja-gáktsalåhke
 čieža-gávcci __ Num __  giehtja-gáktsa
 čieža-gávccičuohti __ Num __  giehtja-gáktsatjuohte
 čieža-gávccičuođi __ Num __  giehtja-gáktsatjuohte
 čiežanuppelohkái __ Num __  lågenangietjav
 čuohti __ Num __  tjuohte
 čuođilogi __ Num __  tjuohtelåhke
 čuođis __ Num __  tjuodes
 čuođi __ Num __  tjuohte
