adopšuvdna	adopsjåvnnå
Afghanistan	Afghanistánna, Afghanistádna
Afghanistan islamlaš dásseváldi	Afghanistánna, Afghanistádna
Afghanistan islámalaš dásseváldi	Afghanistánna, Afghanistádna
Albania	Albádna, Albánna
Albania dásseváldi	Albádna, Albánna
Albánia	Albádna, Albánna
Algeria	Algeria
Algeria demokráhtalaš álbmotdásseváldi	Algeria
alit	alek
alitdohpi	njavllerásse
alitvuodjalasta	njavllerásse
alitvuojaš	stuorvuojatjis
almmifierca	mægástahka, almevierttsa
almmivierca	mægástahka, almevierttsa
ambulánsa	ambulánssa
Andorra	Andårrå
Andorra prinsipáhta	Andårrå
Andorrá	Andårrå
Angola	Angåvllå
Angola dásseváldi	Angåvllå
anteanna	antennja, antænnjo, antännja
Antigua ja Barbuda	Antijgga ja Barbuvdda
aŋŋálakkis	haŋŋá
Aotearoa	Ådå Zealánnda, Aoteárra
appelsiidna	appelsijnna
Argentiinná	Argentijnna
Argentiinná dásseváldi	Argentijnna
Argentina	Argentijnna
Argentina dásseváldi	Argentijnna
Armenia	Armiedna, Armenna
aseksuála	asexuellak, aseksuellak
atninčilgehus	álkkes bagádusásj, åni bagádus, adnembagádusásj, bagádusásj, aktijbiedjambagádus
Australia	Austrálla
Austrália	Austrálla
aviisa	avijssa, tidnik
Azerbaižan	Azerbajádna, Azerbajánna
ábegáhttu	áhppa
áddjá	áddjá
áhčči	áhttje
áhkku	áhkko
áhpedovtta	áhpedavek
áhpehávda	áhpeávdda
áhpespálfu	áhpefálffo
áibmi	ájmme
áiti	njalla
ákšu	áksjo
ákta	ávdda
álbmotmeahcci	luonndoárjudahka
álggaheapmi	álgadibme
álgovuorru	vuostasj oasse
árran	árran
ássanguoibmi	aktanårro
bađošgaccet	badojgattsak
Bahamasullot	Bahábma
Bahrain	Bahrájnna
bahta	bahta
bakku	bákkoj
baloŋŋa	balloaŋŋa
banána	banádna
Bangladesh	Bangladässja, Bangladæssja
Barbados	Barbadåvsså
bargit	bargge
bargolohpi	barggamloahpe
bargooahppi	viddnooahppe
bargoveahka	bargge
basadanlatnja	báda
bassangárri	bassamgárre
baste	bassti
batteriija	bátteriddja, batterijja
báhtter	bátteriddja, batterijja
báiski	skávlle, skákle
báittohat	offsájdda
bákterásttis	stuorrástes, rástes
bárdni	báhttja
bárgidit	bárggedit, bárggeldit
bátnegealas	bádnegella
bátnejuvla	bádnevierra, bádnejuvlla
bátneráhtis	bádnevierra, bádnejuvlla
bátni	bádne
bávgoš	råhkån
beahceloddi	goahppel
beahceloddi	tjuktje
beaiveloddi	biejvvelådde
beaiveruhta	biebbmomávsálvis
beaiveruoktu	mánájåroj
bealjjeoarádat	ålgop bielljerájgge
bealljebunci	bielljesnáhppá
bealljeculci	bielljesnáhppá
bealljerásttis	bielljerástes
beallji	biellje
beana	bena
beaska	muoddá
beassankoarta	bessamkårttå
beassansátni	bessambáhko
beassi	biesse
beasterages	sjvatjik
beavdi	bievdde
beibboš	bejbusj
Belgia	Bælgga, Bälgga
belko	skuolkká
belljosat	jiednabeljas
Benin	Benijnna
bensiidna	bensijnna
bensinstašuvdna	bensinstasjåvnnå
beskkoš	fálffo
beštor	fálffo
beštor	sjvatjik
Bhutan	Bhutádna, Bhutánna
bibbadirri	hudi
biebmomáksu	biebbmomávsálvis
biebmoruhta	biebbmomávsálvis
biegga	biegga
bieggajorri	bieggamilla, bieggajårun, bieggamillo
bieggamillo	bieggamilla, bieggajårun, bieggamillo
bieggamillu	bieggamilla, bieggajårun, bieggamillo
biehkan	boajmásj
biekčavuojaš	vuojatjis
bierdna	biernna
bigán	idjasjkunjok
bihkka	darvve
biikagoašku	sákkásjjudos
biila	bijlla
biilagoavdi	karoassa
bikkobávkos	jullur
bileahttaautomáhtta	billæhttaautomáhtta, biljähttaautomáhtta, besalvisautomáhtta
bileahtta	besalvis, billæhtta, biljähtta
bivttastit	gárvodit
bižus	hudi
bláđet	sláddit
boađus	boados
boaimmáš	boajmásj
boallobeavdi	boallobievdde, tastatuvrra, tangänntabievdde
boanda	båndor
boardda	tráhppá
boazzi	dásse
boddu	båddå
bohttomeahkástat	vuovddemægástahka
bolfegaccet	guossagattsak
Bolivia	Bolijvva
bonju	queer
borjjasvanca	bårjåsvanntsa
Bosnia-Hercegovina	Båssnå ja Herzegovijnna
bovttaš	lunnde
bovttáš	lunnde
Brasil	Brasijlla
Brasilia	Brasijlla
Brunei	Brunedja, Bruniedja
buldagas	ruŋŋka, gárránis, ruovdagis
buldán	ruŋŋka, gárránis, ruovdagis
bulddagas	ruŋŋka, gárránis, ruovdagis
bulddán	ruŋŋka, gárránis, ruovdagis
bulddogas	ruŋŋka, gárránis, ruovdagis
buldogas	ruŋŋka, gárránis, ruovdagis
buldugas	ruŋŋka, gárránis, ruovdagis
Bulgaria	Bulgárra
bumbbaloddi	jieggeloavkko
bumpaloddi	jieggeloavkko
bunásuorsá	stuorvuojatjis
buohccibiila	ambulánssa
buoidecizáš	buojddegattsak
buoidegaccet	buojddegattsak
buollinseaidni	suoddjimsiejnne
buolža	dievvá
buorit juovllat	buorre javla
Buorit juovllat ja lihkolaš ođđa jagi!	Buorre javlla ja buorre ådåjahke!
buorre beaivi	buorre biejvve
buorre iđit	buorre idet
Buorre Sámi álbmotbeaivi!	Vuorbbe Sámij álmmukbiejvijn!
Buriid juovllaid ja lihkolaš ođđa jagi!	Buorre javlla ja buorre ådåjahke!
Burkina Faso	Burkijnna Fásso
bursa	burssa
Burundi	Burunndi
buser	gænssir
busgáhttu	gáhtto
bussá	gáhtto
busse	bussa
buvri	njalla
buvvedat	jullur
cagan	tsagán
cihcefálli	tsihtsehábak
cihceskuolfi	tsihtsesjkunjok
cizášfálli	dihttá
coahkkalit	dieddelit
Colombia	Colåmmbå
čagan	glivi
čalbmeláset	tjalmána, tjalmmeglása
čalbmi	tjalmme
čarkkus	råhkån
čáhcehátna	krádna
čáhcespálfu	råhkån
čáhpesčoavjeviroš	gieddetjuokkun
čáhppat	tjáppat, tjáhppat
čáhppesbuokčá	tjáhppisbuoktje
čáhppesčoavjegáddeviroš	gieddetjuokkun
čáhppesčoavji	gieddetjuokkun
čáhppesčoavžžu	tjáhppistjoavtjoj
čáhppesgaccet	tjáhppisgattsak
čáhppesgáranas	ruŋŋka, gárránis, ruovdagis
čáhppesrásttis	tjáhppisrástes
čáhppesvizar	tjáhppislávllo
čáihni	tjájnne
čálán	tjálan
čálihit	tjáledit, tjáledahttet
čállit sisa	låggit sisi
čáskadanbiila	jáddadimbijlla
čeaksa	tjeksa
čearret	tjierrek
čearrit	tjierrek
čiehkačievččasteapmi	tjiehkatjievtjastibme
čiehkaleavga	tjiehkaslávggá
čiekčanspábba	tjiektjamroahtto, tjiektjambállo
čiekčá	tjiekta
čierastat	tjerastahka
čierggesrásttis	bákterástes, diermmerástes
čievččastit spáppa	vuohtjet roahtov, tjievtjastit roahtov, vuohtjet bállov, tjievtjastit bállov
čievččastit	tjievtjastit
čiksa	riktja
čoađgi	tjoargge
čoaskudeapmi	galmmaskáhppa
čoavji	tjoajvve
čoavžu	ruoppsisjuolgtjoavtjoj
čogu	rájdam
čohkun	rájdam
čujuhit	tsaggat, tjaggat
čujuhuslinnjá	adræssalinnja, adræssasáhtso, adrässalinnja, adrässasáhtso
čukčá	goahppel
čuokkisčoahkku	girkesvuohta, tsahkkisvuohta
čuoldimat	vuojttogilbos, vuojttemgilbos, vuojttemgilpos, vuojttogilpos
čuonanskuolfi	tsihtsesjkunjok
čuonjá	vuovddegássa
čuonji	gássa
čuovga	lámmpo, tjuovgga
čurtebuvssat	truvsa
čurti	bahta
