rišša#gabba	rissja#gabba
girje#gabba	girjje#gabba
batnin#nibba	badnen#nibba
čalbme#liiba	tjalmme#lijbba
namma#galba	namma#galbba
oahpistan#galba	oahpestan#galbba
eret#vuodjin#galba	eret#vuodjen#galbba
geaidno#galba	giejnno#galbba
vuolit#galba	vuolet#galbba
ealli#silba	ielle#silbba
rieban#silba	rieban#silbba
nuoraid#klubba	nuorajd#klubba
jápma#spábba	jábma#spábba
eana#spábba	iena#spábba
juolge#spábba	juolgge#spábba
áibme#spábba	ájmme#spábba
gore#spábba	gåre#spábba
čiekčan#spábba	tjiektjan#spábba
galkan#spábba	galkkan#spábba
eatnan#spábba	iednan#spábba
eanan#spábba	ienan#spábba
sátto#volley#spábba	sátto#vålley#spábba
guossa#guolbba	guossa#guolba
daŋas#guolbba	daŋás#guolba
soagŋo#gába	soaggŋo#gába
čoavdda#doaba	tjoavda#dåba
fága#doaba	fága#dåba
annu^itehta#doaba	anno^itehta#dåba
badje#doaba	badje#dåba
čielge#ađa	tjielgge#ada
ovda#madda	åvddå#madda
lišša#nađđa	lissja#nadda
biika#nađđa	bijkka#nadda
eana#nađđa	iena#nadda
niibe#nađđa	nijbbe#nadda
lieđđe#nađđa	liedde#nadda
eapme#nađđa	iebme#nadda
sáhppe#nađđa	sáhppe#nadda
rásse#nađđa	rásse#nadda
eanan#nađđa	ienan#nadda
nuppástun#nađđa	nuppástun#nadda
álgo#nađđa	álggo#nadda
ákšo#nađđa	áksjo#nadda
áibmo#nađđa	ájmmo#nadda
veivár#nađđa	vejvvár#nadda
hárát#nađđa	hárát#nadda
liššá#nađđa	lissjá#nadda
siskkin#vađđa	sisken#vadda
árra#giđđa	árra#gidda
maŋeš#giđđa	maŋesj#gidda
ruošša#nieida	ruossja#niejdda
badje#nieida	badje#niejdda
sáme#nieida	sáme#niejdda
vári#nieida	váre#niejdda
rivgo#nieida	rivggo#niejdda
biebmo#nieida	biebbmo#niejdda
gonagas#nieida	gånågas#niejdda
boares#nieida	boares#niejdda
ris#nieida	ris#niejdda
bás#nieida	bás#niejdda
gádde#sneaida	gádde#sniejdda
musea#siida	musea#sijdda
nuorta#siida	nuortta#sijdda
nuoraid#siida	nuorajd#sijdda
buohcciid#siida	buohttsijd#sijdda
buhcciid#siida	buhttsijd#sijdda
boarrásiid#siida	boarrásijd#sijdda
mánáid#siida	mánájd#sijdda
badje#siida	badje#sijdda
sáme#siida	sáme#sijdda
sámi#siida	sáme#sijdda
gieldda#sámi#siida	gielda#sáme#sijdda
davvi#sámi#siida	davve#sáme#sijdda
riddo#sáme#siida	riddo#sáme#sijdda
riddo#sámi#siida	riddo#sáme#sijdda
julevu#sámi#siida	julevu#sáme#sijdda
julev#sámi#siida	julev#sáme#sijdda
geasse#siida	giesse#sijdda
geassi#siida	giesse#sijdda
davve#siida	davve#sijdda
davvi#siida	davve#sijdda
dálve#siida	dálvve#sijdda
sis#eatnan#siida	sis#iednan#sijdda
áldo#siida	álldo#sijdda
eallo#siida	iello#sijdda
luovas#siida	luovas#sijdda
biila#luodda	bijla#luodda
meahcce#biila#luodda	miehttse#bijla#luodda
ruovde#luodda	ruovdde#luodda
meahcce#luodda	miehttse#luodda
sisa#vuodjin#luodda	sisa#vuodjen#luodda
eret#vuodjin#luodda	eret#vuodjen#luodda
sisa#boahtin#luodda	sisa#boahten#luodda
njuolggo#luodda	njuolgo#luodda
ruovtto#luodda	ruovto#luodda
ruovttu#luodda	ruovto#luodda
geasáhat#luodda	gæsáhat#luodda
seahkála#johtolat#luodda	sæhkála#jåhtulat#luodda
giella#čearda	giella#tjierdda
indiána#čearda	inddiána#tjierdda
olmmoš#čearda	ålmusj#tjierdda
unnit#čearda	unnet#tjierdda
álbmot#čearda	álmmut#tjierdda
dolge#fárda	dålgge#fárdda
geasse#fárda	giesse#fárdda
dálve#fárda	dálvve#fárdda
gihkan#fárda	gihkan#fárdda
molssa#fárda	målså#fárdda
gieldda#hoavda	gielda#hoavdda
bargo#veahka#hoavda	barggo#viehka#hoavdda
